111,339,33054,softball,balle molle,Ball Diamond 02,Terrain de balle 02,baseball,75,70,no/non,yes/oui,yes/oui,yes/oui,no/non,yes/oui,yes/oui,no/non,yes/oui,yes/oui,no/non,None,None,None,None,None
112,345,3888,softball,balle molle,Ball Diamond 02,Terrain de balle 02,baseball,75,75,yes/oui,yes/oui,no/non,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,yes/oui,no/non,None,None,None,None,None
113,330,33051,softball,balle molle,Ball Diamond,Terrain de balle,baseball,75,70,no/non,yes/oui,yes/oui,yes/oui,yes/oui,no/non,yes/oui,no/non,yes/oui,yes/oui,no/non,None,None,None,None,None
114,330,33052,softball,balle molle,Ball Diamond,Terrain de balle,baseball,75,70,no/non,yes/oui,yes/oui,yes/oui,yes/oui,no/non,yes/oui,no/non,yes/oui,yes/oui,no/non,None,None,None,None,None
115,693,33118,softball,balle molle,Ball Diamond 03 (Minors),Terrain de balle 03 (ligues mineures),baseball,80,73,no/non,yes/oui,yes/oui,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,yes/oui,no/non,None,None,None,2016-07-26 9:31,None
116,525,33093,baseball,baseball,Ball Diamond - Baseball,Terrain de balle - Baseball,baseball,100,92,yes/oui,yes/oui,yes/oui,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,yes/oui,no/non,None,None,None,None,None
117,271,33042,softball,balle molle,Ball Diamond,Terrain de balle,baseball,65,60,no/non,no/non,no/non,no/non,no/non,no/non,no/non,no/non,no/non,no/non,no/non,None,None,None,None,None
118,1001,33162,softball,balle molle,Ball Diamond,Terrain de balle,baseball,75,70,no/non,no/non,no/non,yes/oui,no/non,no/non,no/non,no/non,no/non,no/non,no/non,None,None,None,None,None
119,496,33083,softball,balle molle,Ball Diamond,Terrain de balle,baseball,70,65,yes/oui,yes/oui,no/non,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,no/non,no/non,None,None,None,None,None
120,514,33091,softball,balle molle,Ball Diamond,Terrain de balle,baseball,65,60,no/non,no/non,no/non,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,no/non,no/non,None,None,None,None,None
121,430,33077,softball,balle molle,Ball Diamond,Terrain de balle,baseball,70,65,yes/oui,yes/oui,yes/oui,yes/oui,no/non,no/non,yes/oui,no/non,yes/oui,yes/oui,no/non,None,None,None,None,None
122,513,33088,softball,balle molle,Ball Diamond C - Softball South,Terrain de balle C - Balle molle Sud,baseball,74,70,no/non,no/non,no/non,yes/oui,no/non,no/non,yes/oui,yes/oui,yes/oui,no/non,no/non,None,None,None,None,None
123,1109,4050,softball,balle molle,Ball Diamond 02 - Softball,Terrain de balle 02 - Balle molle,baseball,65,60,no/non,no/non,yes/oui,yes/oui,no/non,no/non,no/non,no/non,yes/oui,no/non,no/non,None,None,None,None,None
